,date,rating,userName,content,platform
47,2021-10-12,1,Park Sun-Jung,출근길에 i.m택시를 이용하는 유저입니다 비용은 일반택시보다 비싸지만 편리함으로 이용하는데 택시 수가 모자라고 10분이라 해놓고 20분걸리거나 콜 배정된 알림이 팝업되지않아 중복으로 호출한경험도있습니다 무엇보다 오늘도 17분걸려서 더 빨리타려고 택시경로까지 걸어서 5분이동했습니다 회사 지각예정이고요 30분경에 배차되어 50분에도착이라니 회사원들 급할땐 절대이용하지마시기바랍니다 시간적 여유가있을때 하시고 지각직전이라고 말해도 신호는 주황불만기다렸다는듯 밟으시니 이제는 글 쓰다보니 지각확정이네요 기사님은 태평하게 이런날은 꼭 신호등도 잘 걸린대요 누구 놀리나 진짜 대환장 열불터지는 후기였습니다,PlayStore
48,2021-09-23,1,나룽,차가 있긴한건지? 서울 신림인데 차가 너~~무 없음 .. 여기 번화가인데ㅜ어쩜 이럴수가 ...기사가 있긴한가요 아랫분들 뭘타신건지...... 이용을 하라는건지 말라는건지 기사분들 영입에 힘쓰셔아겠음..,PlayStore
49,2021-10-08,1,코킹소담,정작 필요할때 호출해도 오지 않습니다 어디 특정지역만 활성화 된건지 .. 한참을 차 잡히기를 기다리다 그냥 카카오택시 불렀습니다 바로 오더군요 사실 별1개도 아깝습니다,PlayStore
50,2021-10-14,5,뚝딱손,요즘 자주 이용하고 있는데 일반 택시랑 가격차이도 많이 나지 않는데 쾌적하고 운전을 부드럽게 해주셔서 그런지 승차감이 항상 탈때마다 좋았어요~,PlayStore
51,2021-11-16,5,달빛라라,택시는 장거리 아니면 잘 안쓰다 보니까 택시 타면 좀 심심하더라구요... 근데 아이엠 타고 나서는 와이파이 잡고 유튜브나 웹툰 보면서 가니까 시간 뚝딱ㅋㅋㅋ 와이파이 말고도 태블릿PC까지 있어서 다음에 또 타면 한번 써보려구요!,PlayStore
52,2021-09-15,5,유유,지금 가입하면 5000원 최저금액제한없이 쓸 수 있는 쿠폰도주고 기본요금도 저렴해서 편하게 이용했어요. 광진구나 강동구맘은 맘케어서비스도 별도로 있어요. 쉿조용히 옵션을 선택하면 이동내내 조용히 갈 수 있는게 가장 좋았어요. 공항예약도 되서 다음에 공항갈때도 이용햐보고싶어요.,PlayStore
53,2021-11-08,5,김아란,이용하기도 쉽고 좋은 것 같아요 지금까지 만난 기사님들도 다 친절하셨고 불편한 건 없는지 물어보는게 좋았어요 어디든 편하게 다닐 수 있어서 좋네요,PlayStore
54,2021-09-17,5,3 tjdudx,"배차만 좀 수월하게 됐으면 좋겠어요 다른 곳보다 확실히 친절하고 운전도 부드럽습니다 +아무래도 강남권에 수요가 많고, 차고지도 그쪽이다보니 차량 쏠림이 좀 있는 거 같아요. 기사님들하고 이야기해보면 대부분 강남에 있다더라고요. 다른 곳이 가맹, 중개 플랫폼이라 이름만 달아놓고 별로인 경우가 많아 1순위로 이용하는데 배차가 쉽지 않아요. 그래도 직고용 시스템이고, 차량 관리가 잘되어서 그런지 좋긴 좋습니다 이용료나 추가요금 낼 바에 아이엠 부르고 싶은데 제발 잘 잡히면 좋겠어요 ㅠㅠ",PlayStore
55,2021-09-14,5,zzZ,차량이 내부가 너무 좋고 향기나고 깔끔해요. 기사님도 너무 친절하셔서 굉장히 편안하게 타고왔습니다. 가격도 저렴한 편인데 이벤트도 하고 있어서 좋네요.,PlayStore
56,2021-09-15,5,sunny yun,너무 편하고 좋아요. 근데 차량이 많아졌음에도 종종 너무 늦게 잡히는때가 있어요. 출발시간 지정하는 기능이 있었으면 좋겠어요~,PlayStore
57,2021-11-15,5,조소담,친구가 카니발 택시 좋다길래 아이엠 이용해 봤는데 너무 편한거 있죠ㅜㅜ 손에 짐이 많거나 비오늘 날 타기 좋더라구요ㅋㅋ 내부에 손소독제도 있어서 일반 택시보다 덜 찝찝하기도 하고 앞으로 자주 이용해보려구요!,PlayStore
58,2021-11-05,5,라하,어떻게 매번 기사님들이 항상친절하신가요? 애기들 데리고 짐 많이 타게 되는데 항상 너무 감사한 마음이 들게 너무 친절하세요 ㅠㅠ 애기들 데리고 이동할때 진짜 im없이는 ㅠ 멀리 못가요 최고~~,PlayStore
59,2021-09-19,5,윤여운,가격차이는 조금인거같고 승차감도 좋고 기사님도 너무 친절합니다 충전기도 있고 인터넷도 이용가능하고 와이파이도 있어요 좋아요,PlayStore
60,2021-10-11,5,steve park,매우 친절하고 서비스도 좋고! 강추합니다. 차량수도 늘어나고 있다고 하니 더 기대가 됩니다.,PlayStore
61,2021-12-03,5,기호성,카니발 리무진시트? 엄청 편하네요 배차 오래안걸리고 기사님들 다 친절하시네요 다른택시 비교얀됌 아이엠택시를 진작 알았어야했는데..,PlayStore
62,2021-10-05,5,whew,요즘 택시 서비스가 많은데 특히 아이엠은 비말차단막이 설치돼 있어서 택시 기사님과 안전하게 대화를 주고 받을 수 있는 게 좋네요,PlayStore
63,2021-11-07,5,쩝쩝박사뽁삐,타인탑승 호출이 되서 어른들 택시 불러드릴때 좋아요 신형카니발이라 차량 식별도 좋고 내부도 깔끔합니다 추천!!,PlayStore
64,2021-10-31,5,JIMIN SONG,카니발택시라 좌석이 넓어 좋아요 그리고 특히 아이들과 함께 이용하는 편인데 너무 친절하세요. 다만 콜은 여유있게 부르시는게 편할꺼예요,PlayStore
65,2021-10-05,1,태공김,경기안양사는데.작년부터검색하는데. 서울만서비스하지말고경기지역도 지원해주셨으면합니다ㅠ,PlayStore
66,2021-10-25,5,bibim Gugsu,"기사님들도 친절하시고 승차감도 좋아요! 그런데.. 저번 잠실에는 바로 잡히더니, 화곡에서 타려니깐 안 잡혀요... 기사님께 대수가 적다고는 들었는데.. 너무 없어요..",PlayStore
67,2021-11-22,5,코코드퐁듀,반려견이랑 같이 택시 타면 눈치보이는 경우가 있는데 기사님도 친절하시거 그런게 없어서 편하게 탈 수 있어요,PlayStore
68,2021-11-07,5,dodam dodam,차가 넓어서 확실히 짐 많을 때 이용하면 진짜 좋더라구요.. 눈치도 안보이고 ㅎㅎㅎ,PlayStore
69,2021-10-03,5,Kate Jeong,예전 타다 타는 것 같아요. 깨끗하고 넓고 완전 좋음! (2021.10.04) 어플이 리뷰를 적극적으로 검토하고 보완하는 것 같아요. 정말 잘 이용중입니다.,PlayStore
70,2021-09-24,5,주일학교쌤,부모님과 공항에 가려고 예약했는데 코로나 땜에 걱정했는데 차량이 커서 공간이 넓어서 좋았고 운전자분도 친절하시고 운전도 편안히 잘 해주셨습니다.^^,PlayStore
71,2021-10-21,1,Dong Hyun Lee,출근길에 IM택시 난폭운전으로 인해 사고가 발생할 뻔했습니다. 가장 중요한 도로위에서 안전부터 기사분들 교육을 시켰으면 좋겠네요. 고객센터에다가 신고 넣을수있게끔 만들어주었음 합니다. 신고를 통해 누적된 기사분들은 패널티를 먹게하든 조취를 취하십시오,PlayStore
72,2021-10-05,5,임태수,일반 택시랑 다르게 넓어서 더 편하게 이용할 수 있었던 것 같아요! 짐이 많을 때 특히 유용할 듯 해요,PlayStore
73,2021-10-12,5,인생이개똥,너무 쾌적하고 편하고 좋아요 급하게 이용하기에는 좀 오는데 오래걸리지만 시간적 여유가있다면좋은것같아요,PlayStore
74,2021-10-12,5,유현아,"실제로 타보니까 되게 괜찮았어요 운전석이랑 좌석 사이에 비말차단막이 있는 것도, 따로 손소독제랑 공기 살균기가 있어서 마음 놓고 탈 수 있는 게 제일 마음에 들었어요",PlayStore
75,2021-10-28,5,Sookwang Lee,트렁크 도어 자동문이면 좋겠어요 시트도 전동으로 했으면 해면 여자들은 힘들어요 ㅠ,PlayStore
76,2021-10-31,5,홀리올리,기사님만 많으면 더 좋을듯. 최고의 승차감과 친절함이 너무 좋습니다 :),PlayStore
77,2021-12-01,5,장현성,정말 강추 합니다. 카카오보다 저렴하고 바라는점은 차량이 좀더 많았으면 좋겠습니다,PlayStore
78,2021-09-14,5,가내,안드로이드 택시 호출이 안돼요ㅠㅠ 아이엠 자주 이용하고 있는데 확인 좀 부탁드립니다.,PlayStore
79,2021-10-02,5,King King,다 좋은데 너무 멀리있는 택시 잡히는건만 개선하면 좋을거같아요,PlayStore
80,2021-10-11,5,Grand Blue,요새는 택시 타기도 불안한데 내부에 공기청정기도 있고 손소독제도 있어서 안심이 되네요,PlayStore
81,2021-11-07,5,나한별,택시 안에 공기 청정기 있는거 보고 좀 놀라긴 했어요 ㅎㅎㅎㅎ 그래서 그런지 내부가 엄청 쾌적하더라구요,PlayStore
82,2021-12-01,3,H yeriel,출근시간은 아예 어플에 한대두 안잡혀여 ~ 7시40~8시20분 사이,PlayStore
83,2021-11-22,5,chocolate milk,택시 안에서 와이파이 되는 건 생각 못해봤는뎀.. 신기하더라구요 ㅋㅋ,PlayStore
84,2021-12-21,1,GunMo Goo,"각종 택시앱 많이 타는데, 그 중에서 예상 도착 시간 정확도가 제일 낮음. 특히 출발지로 오는 예상 시간이 3~5분으로 뜨면 기본 10분은 걸린다고 봐야 됨. 기사 운전 미숙인지 내비게이션의 수준이 떨어지는 건지 문제가 심각함",PlayStore
